review,rating
"Das Produkt ist fantastisch! Sehr gute Qualität und schnelle Lieferung.",5
"Totaler Müll! Funktioniert nicht und Support ist nutzlos.",1
"Perfekte Kopfhörer! Bass ist stark und Preis/Leistung top.",5
"Sehr schlechter Service. Ware defekt und keine Rückerstattung.",1
"Gute Kamera aber Akku hält nur 2 Stunden. Enttäuschend.",3
"Ok für den Preis. Nicht perfekt aber akzeptabel.",3
"Einzigartiges Design! Liebe diese Tasche absolut!",5
"Bildschirm kratzt leicht. Sonst ganz gut.",2
"Produkt super, Versand dauert ewig aber macht nix.",4
"Nie wieder kaufen! Alles kaputt nach 1 Woche.",1

