review,rating
"यह हेडफोन शानदार हैं! ध्वनि स्पष्ट और बास जबरदस्त है।",5
"बहुत खराब गुणवत्ता। एक हफ्ते में टूट गया। पैसा बर्बाद।",1
"कैमरा शानदार! फोटो बहुत अच्छे आते हैं। 5 सितारे!",5
"डिलीवरी बहुत लेट हुई। प्रोडक्ट तो अच्छा है लेकिन...",2
"सर्वश्रेष्ठ वायरलेस इयरबड्स! आरामदायक और लंबी बैटरी।",5
"स्क्रीन जल्दी खराब हो गई। Flipkart से शिकायत करूँगा।",1
"कीमत के हिसाब से अच्छा। ध्वनि औसत लेकिन ठीक है।",4
"क्या कचरा प्रोडक्ट है! बिल्कुल काम नहीं कर रहा।",1
"पैकेजिंग अच्छी, प्रोडक्ट प्रीमियम लगता है। संतुष्ट!",5
"बैटरी ठीक है लेकिन डिज़ाइन अच्छा नहीं। औसत उत्पाद।",3

